negativereason,text
Can't Tell,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
Flight Attendant Complaints,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
Flight Booking Problems,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
Can't Tell,@VirginAmerica you suck!
Flight Booking Problems,@VirginAmerica Just DM'd. Same issue persisting.
Cancelled Flight,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
Flight Booking Problems,@VirginAmerica trying to book a flight &amp; your site is down ðŸ˜
Cancelled Flight,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
Cancelled Flight,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
Customer Service Issue,@VirginAmerica Your website is down and I'm trying to check in!
Bad Flight,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
Late Flight,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
Cancelled Flight,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  â„ï¸â„ï¸â„ï¸
Cancelled Flight,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
Customer Service Issue,@VirginAmerica canâ€™t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
Customer Service Issue,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
Cancelled Flight,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
Cancelled Flight,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
Customer Service Issue,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
Flight Booking Problems,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
Cancelled Flight,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
Can't Tell,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
Customer Service Issue,@VirginAmerica hold times at call center are a bit much
Flight Booking Problems,@VirginAmerica Site down? #help
Customer Service Issue,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
Late Flight,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
Cancelled Flight,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
Customer Service Issue,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
Lost Luggage,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
Customer Service Issue,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
Bad Flight,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
Flight Booking Problems,@VirginAmerica current bug on website shows â€˜select departure cityâ€™ when selecting destination city http://t.co/SLLYIBE2vQ
Bad Flight,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver memberðŸ˜’
Bad Flight,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
Customer Service Issue,@VirginAmerica there is something wrong with you website in Safari iPhone
Can't Tell,@VirginAmerica Already checked in so the page expired :X
Customer Service Issue,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
Bad Flight,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selectedðŸ‘Ž #DISAPPOINTED"
Lost Luggage,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
Customer Service Issue,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
Can't Tell,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
Flight Attendant Complaints,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
Bad Flight,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
Flight Booking Problems,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
Customer Service Issue,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
Customer Service Issue,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
Lost Luggage,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
Flight Booking Problems,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.
Can't Tell,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
Flight Booking Problems,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
Customer Service Issue,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
Customer Service Issue,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
Flight Booking Problems,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
Lost Luggage,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
Flight Booking Problems,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
Flight Booking Problems,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)"
Customer Service Issue,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly ðŸ˜¥
Customer Service Issue,@VirginAmerica trying to check-in...but looks like your site is down?
Late Flight,"@VirginAmerica spending my birthday night with you, DAL-DCA. Get me home!"
Customer Service Issue,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.
Can't Tell,"@VirginAmerica seriously, though. will there not be direct flights from SFO-FLL in may???"
Flight Booking Problems,@VirginAmerica It's fine. Already done with my purchase. But you should try it. Just go most of the way through then go back 3
Bad Flight,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board"
longlines,"@VirginAmerica
wjere is our luggage #so slow at lax"
Customer Service Issue,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
Flight Booking Problems,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
Flight Booking Problems,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
Can't Tell,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
Bad Flight,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
Bad Flight,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
Customer Service Issue,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
Late Flight,@VirginAmerica delayed to10.30!!
Customer Service Issue,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
Can't Tell,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
Customer Service Issue,"@VirginAmerica, I submitted a status match request a while back and still havenâ€™t heard! Iâ€™m flying on Monday. Can you look / accelerate?"
Flight Booking Problems,@VirginAmerica I'm pulling my hair out trying to book a flight with u. Your site doesn't work on iPhone or iPad.don't have a computer #help
Customer Service Issue,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!
Bad Flight,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!
Bad Flight,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!
Customer Service Issue,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.
Customer Service Issue,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!
Customer Service Issue,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.
Can't Tell,@VirginAmerica all crap channels which is why I pay to watch UK tv
Can't Tell,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
Customer Service Issue,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
longlines,@VirginAmerica When will VX use all 6 LGA slots instead of 4 today? Adding AUS makes this less likely :(
Flight Booking Problems,@VirginAmerica sad to learn you no longer fly SFO &gt; PHL. Hope it returns!
Bad Flight,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
Bad Flight,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
Cancelled Flight,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time."
Can't Tell,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
Flight Attendant Complaints,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!"
Bad Flight,@VirginAmerica Thanks for making my flight from LAX to JFK a nightmare by forcing me to check my carry on bag at the gate. (1)
Customer Service Issue,@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........
Late Flight,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.
Customer Service Issue,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.
Customer Service Issue,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.
Cancelled Flight,"@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!"
Customer Service Issue,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!
Customer Service Issue,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers."
Customer Service Issue,@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?
Flight Booking Problems,@virginamerica Trying to make the change in advance (not just 24 hours prior)â€¦tried it online earlier and it wanted $300 in change fees.
Bad Flight,"@VirginAmerica mood lighting on pointðŸ™Œ Reclining my seat, kickin up my feetðŸ’¤"
Late Flight,@VirginAmerica my flight (6000) scheduled for 1pm departure still says on time but no plane at gate. Any update on how long of a delay?
Customer Service Issue,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either ðŸ˜¡
Cancelled Flight,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.
Late Flight,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united
Can't Tell,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :)
Can't Tell,@united you think you boarded flight AU1066 too early? I think so.
Bad Flight,"@united Gate agent hooked me up with alternate flights. If you have a way to PREVENT the constant issues, that would rock."
Flight Booking Problems,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.
Customer Service Issue,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service
Customer Service Issue,"@united I did start a claim but 8-10 weeks is unrealistic, am I really supposed to go that long with out a car seat for my child.Ridiculous!"
Lost Luggage,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child"
Can't Tell,@united @highbuddyyy that totally sucks my cousin worked at PHL said @united
Customer Service Issue,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting
Customer Service Issue,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner."
Can't Tell,"@united thats weak. See ya ðŸ‘‹
Hey @VirginAmerica !!"
Can't Tell,@united I flew back w other company since United didnt have an earlier flight
Customer Service Issue,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab
Customer Service Issue,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.
Late Flight,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue."
longlines,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled
Can't Tell,@united #Newarkliberty Airport need to indicate different gate#'s for terminals A&amp;C. #Flyingainteasy
Customer Service Issue,"@united yes please! I am newly married and trying to update my last name on a preexisting international flight! It seems so easy, but..."
Customer Service Issue,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice
Can't Tell,"@united also during the run I was instructed to do, I shattered my computer. http://t.co/oAflfr7WXB"
Flight Attendant Complaints,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice."
Flight Attendant Complaints,"@united iah to charlotte. Baggage claim rep latrice h. #customerservice non existent, Ignored customer then inappropriately touched customer"
Customer Service Issue,@united @UCtraveladvisor - I would have loved to respond to your website until I saw the really long form. In business the new seats are bad
Cancelled Flight,@united A refund and flight vouchers or another flight on a different airline at your expense for today. 8 hour drive is very inconvenient
Lost Luggage,@united then why have I not received my call back its been 3 days...it's an infant car seat how am I supposed to go anywhere with my child
Late Flight,@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis
Flight Booking Problems,"@united No, I need you guys to not over book planes. It's not a concern, I'll just travel with someone else moving forward."
Late Flight,@united A measly $50 e-certificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116. #unacceptable
Can't Tell,@united When will email address/username sign-on be available? It's been a while.
Can't Tell,@united rude rude
Flight Booking Problems,@united - Why can't I get a boarding pass for my Austrian Airlines codeshare flight. Rebook incls a 6 hour layover &amp; I am stuck outside sec
Lost Luggage,@united just flew to #TelAviv paid $100 from a third suitcase which didn't even make it on the plane! Besides for the impolite service...
Lost Luggage,@United  My bag is still in Colo Springs. I am disabled and have to search an unfamiliar airport and look for my bag. Not a good outcome
Customer Service Issue,@united Shame that there's no flex to tickets transfer rules.  Even calling from Neurosurgery ICU isn't enough!
Customer Service Issue,@united No. Denver said they don't handle baggage that made it to Colo. Springs.  They gave me an 800 number to call. No help there either.
Customer Service Issue,@united you guys need some serious training in customer service. Too many better options to put up with the way you guys handle ur mistakes
Customer Service Issue,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor."""
Cancelled Flight,@united ZCC82U Cancelled Flight flight 16h in advance??? Need connect flight reschedule so the link isn't helping. Help!? Gf waited months to see me.
Can't Tell,@united I will not be flying you again
Late Flight,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight."
Flight Booking Problems,@united our travel booked thru United group dept. Okc ticket agent less than willing to help with our connection in LAX.
Flight Attendant Complaints,"@united v upset with your disability  ""services"". When I told one of your employees I was carrying medical equipment she was very rude."
Customer Service Issue,@united thnx for quick reply but don't think you can assist. Our intl grp will be put to considerable inconvenience today.
Can't Tell,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!
Flight Booking Problems,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!
Customer Service Issue,"@united as a 1k, I'm always hoping for improvement."
Customer Service Issue,@united OKC ticket agent Roger McLarren(sp?) LESS than helpful with our Intl group travel problems Can't find a supervisor for help.
Can't Tell,@united mobile apps need construction from the ground up for each OS category.  It's expensive to get right .
Flight Booking Problems,@united another fail for the United ticket agents in OKC. LESS than helpful and could care less about our problems. American here we come.
Customer Service Issue,"@united I just sent an email to Customer Care, telling them I may have to break up with you ðŸ˜¢. I sincerely hope they can help me!!"
Flight Attendant Complaints,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk
Flight Booking Problems,@united What is your phone number. I can't find who to call about a flight reservation.
Can't Tell,"@united well, you can't fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it."
Customer Service Issue,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did."
Lost Luggage,@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12
Customer Service Issue,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.
Flight Attendant Complaints,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!
Flight Attendant Complaints,@united what's the point of asking for details about a #servicedog when you book if your flight crew doesn't read them? (Continued)
Late Flight,@united I tried but no one was available in bogota and everyone was rude in Houston. I was stuck for 35 hours because of you guys
Bad Flight,@united #worst2unitedflightsever UA 236 LAS to IAD 2/24 mechanical problems again - took off - had to land for fix - delayed again #wtfodds!
Late Flight,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever
Late Flight,@united #worst2unitedflightsever UA1429 IAD to LAS 2/19 mechanical problems - switched aircraft delayed 3.5 hours!
Customer Service Issue,@united crashed trying to check in.
longlines,@united on 768 to Logan - boarding gong show due to lax carry on enforcement. Bins full of coats = no room for bags. U need a better system!
Customer Service Issue,@united Blackmailed me into paying Â£130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam
Customer Service Issue,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  âœŒï¸out.
Late Flight,@united ua1673 still waiting! Supposed to depart 9:08
Customer Service Issue,@united it was credit from my last trip that never came in the mail!
Customer Service Issue,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
Customer Service Issue,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice
Flight Booking Problems,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
Customer Service Issue,@united how do I get my account number if your website says email is unavailable?
Lost Luggage,"@united I received 1 bag last night, I am still missing the other one."
Bad Flight,"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench."
Late Flight,@united 2nd flight also delayed no pilots! But they boarded is so we can just sit here! #scheduling
Bad Flight,@united but it's hard to stay upset at someone when they at least TRY to show remorse.
Customer Service Issue,"@united By the way, a simple apology goes a long way, even if it's a hollow one. It's obvious that you don't care about me or my well-being,"
Customer Service Issue,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.
Can't Tell,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you
Customer Service Issue,"@united It's an incredibly easy fix, but you would rather stay in your comfort zone, while I get forced out of mine."
Flight Attendant Complaints,@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.
Can't Tell,@united Everyone around us is sitting with their friends and family members. They booked their tickets in October and December. We bought
Customer Service Issue,@united Not sure what you are talking about. She is going on nonstop flights. SNA to SFO and then SFO to EWR.
Customer Service Issue,".@united it will be because I'm moving to @AmericanAir because of @united talk, no service"
Customer Service Issue,"@united I asked a legitimate question about systemwide vs. localized problems, and got back an unreLate Flightd copy/paste. You can do better."
Lost Luggage,@united what time? Who can I call. I need my skis. I will go to the airport and get them. No more faith in United.
Can't Tell,@united I see you guys are at it again. Amazing how one company continually makes mistakes yet fails to be held accountable for their error
